Filing Date,Document Type,Filed By,Description
"October 28, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=418731856""><span style=""color:blue""><u>RULING</u></span></a>",ALJ/WATTS-ZAGHA/CPUC,ADMINISTRATIVE LAW JUDGE’S RULING ON LEADERSHIP COUNSEL FOR JUSTICE AND ACCOUNTABILITY’S SHOWING OF SIGNIFICANT FINANCIAL HARDSHIP
"October 18, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=415875297""><span style=""color:blue""><u>RULING</u></span></a>",CMMR/GUZMAN ACEVES/CPUC,Assigned Commissioner’s Ruling seeking comments and noticing workshop on strategies to enhance community based organization support for customers to access COVID-19 Relief.
"October 18, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=415874756""><span style=""color:blue""><u>EXPARTE</u></span></a>",CENTER FOR ACCESSIBLE TECHNOLOGY,"NOTICE OF EX PARTE COMMUNICATION. Center for Accessible Technology reports an ex parte meeting with Justin Fong and Sarah Sharpe from the office of Commissioner Guzman Aceves on October 15, 2021 from approximately 2:00 pm to 2:30 pm."
"October 15, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=415275489""><span style=""color:blue""><u>PROPOSED DECISION</u></span></a>",ALJ/WATTS-ZAGHA/CPUC,"Proposed Decision directing allocation of payment on past-due bills between Investor-Owned Utilities and Community Choice Aggregators. Opening comments, which shall not exceed 15 pages, are due no later than November 4, 2021. Reply comments, which shall not exceed 5 pages, are due within five days after the last day for filing opening comments."
"October 13, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=415275655""><span style=""color:blue""><u>EXPARTE</u></span></a>","San Diego Gas & Electric Company (SDG&E),Southern California Gas Company (SoCalGas),Southern California Edison Company (SCE),Pacific Gas and Electric Company (PGE)","JOINT NOTICE OF EX PARTE COMMUNICATION. San Diego Gas & Electric Company, Southern California Gas Company, Southern California Edison Company, and Pacific Gas and Electric Company report an ex parte meeting with Commissioner Darcie Houck; Kathleen Yip, Energy Advisor; Commissioner Martha Guzman Aceve; Jonathan Koltz, Chief of Staff; Sarah Sharpe, Senior Advisor – Ext. Affairs; Justin Fong, Advisor on October 8, 2021 at 3:00 pm."
"October 08, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=413605934""><span style=""color:blue""><u>NOTICE</u></span></a>",CENTER FOR ACCESSIBLE TECHNOLOGY,"THREE-DAY ADVANCE NOTICE OF EX PARTE COMMUNICATION. Center for Accessible Technology is granted an ex parte meeting with Justin Fong, and Sarah Sharpe from the office of Commissioner Guzman Aceves on October 13, 2021 from 2:00 pm to 2:30 pm."
"October 05, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=412804032""><span style=""color:blue""><u>NOTICE</u></span></a>","San Diego Gas & Electric Company (SDG&E),Southern California Gas Company (SoCalGas),Southern California Edison Company (SCE),Pacific Gas and Electric Company (PGE)","JOINT THREE-DAY ADVANCE NOTICE OF EX PARTE COMMUNICATION. San Diego Gas & Electric Company, Southern California Gas Company, Southern California Edison Company and Pacific Gas and Electric Company are granted an ex parte meeting with Kathleen Yip, Energy Advisor to Commissioner Houck; Jonathan Koltz Chief of Staff to Commissioner Guzman Aceves and Sarah Sharpe and Justin Fong, Advisors to Commissioner Guzman Aceves on October 8, 2021 at 3:00 pm."
"September 21, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=409186122""><span style=""color:blue""><u>EXPARTE</u></span></a>",Southern California Edison Company,"NOTICE OF EX PARTE COMMUNICATION. Southern California Edison Company reports an ex parte meeting with Sarah Sharpe, Senior advisor to Commissioner Guzman Aceves and Justin Fong, advisor to Commissioner Guzman Aceves on September 17, 2021 from 5:32 pm to 5:41 pm."
"September 17, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=409186054""><span style=""color:blue""><u>EXPARTE</u></span></a>","Pacific Gas and Electric Company,Southern California Edison Company,San Diego Gas & Electric Company,Southern California Gas Compay","JOINT NOTICE OF EX PARTE COMMUNICATION. Pacific Gas and Electric Company, Southern California Edison Company, San Diego Gas & Electric Company and Southern California Gas Company report an ex parte meeting with Commissioner Martha Guzman Aceves; Jonathan Koltz, Chief of Staff to Commissioner Guzman Aceves; Justin Fong, advisor to Commissioner Guzman Aceves; Sarah Sharpe, advisor to Commissioner Guzman Aceves on September 14, 2021 at approximately 11:00 am."
"September 15, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=407951054""><span style=""color:blue""><u>EXPARTE</u></span></a>",COMMR GUZMAN ACEVES/ADVISOR/CPUC,"DECISIONMAKER NOTICE OF EX PARTE COMMUNICATION. Justin Fong, advisor to Commissioner Martha Guzman Aceves logs an ex parte meeting with CalCCA on June 15, 2021 from approximately 10:00 am to 10:12 am."
